Item Number,Quantity,Value,Description,Part Number,Part Reference,Manufacturer Name,Manufacturer Part Number,ID,SKU,ALT_MPN,ALT_MFR
1,1,10n,,,C1,,,45,,,
2,1,D1N4148,,,D1,,,21,,,
3,1,D1N4148,,,D2,,,24,,,
4,1,10k,,,R1,,,13,,,
5,1,22k,,,R2,,,16,,,
6,1,200,,,R3,,,27,,,
7,1,8.96k,,,R4,,,30,,,
8,1,5.1K,,,R5,,,57,,,
9,1,5.6k,,,R6,,,61,,,
10,1,5.6k,,,R7,,,64,,,
11,1,10k,,,R8,,,110,,,
12,1,10K,,,R9,,,133,,,
13,1,LM741,,,U1,,,2,,,
14,1,LM741,,,U2,,,36,,,
15,1,LM741,,,U3,,,49,,,
16,1,LM741,,,U4,,,117,,,
